text,category,timestamp,rating
"The battery life is absolutely fantastic, lasts me 2 full days on a single charge!",electronics,2026-01-05,5
"Battery drains super fast. Can barely get through half a day.",electronics,2026-01-06,1
"Great phone overall but the battery could be better. Charges quickly though.",electronics,2026-01-07,3
"Sure, the customer support is 'amazing' -- only took them 3 weeks to reply to my email",electronics,2026-01-08,1
"Oh wow, the battery lasts SO long... if you consider 2 hours long",electronics,2026-01-09,1
"Excellent battery performance. Best I've had in any phone.",electronics,2026-01-10,5
"Battery life is decent for the price point. No complaints.",electronics,2026-01-11,4
"Worst battery I've ever experienced. Dies randomly at 30%.",electronics,2026-01-12,1
"The battery is absolutely perfect, I can go two days without charging!",electronics,2026-01-13,5
"Customer support was extremely helpful and resolved my issue quickly.",electronics,2026-01-14,5
"Price is way too high for what you get. Not worth it at all.",electronics,2026-01-15,2
"Amazing product for the price. Battery life exceeds expectations.",electronics,2026-01-16,5
"Support team never responds. I've been waiting for weeks.",electronics,2026-01-17,1
"Love the fast charging feature. Battery goes 0-100 in 30 mins.",electronics,2026-01-18,5
"Overpriced garbage. Battery is a joke. Support is non-existent.",electronics,2026-01-19,1
"Good value for money. Battery gets me through a full day easily.",electronics,2026-01-20,4
"Customer support solved my problem in under 10 minutes!",electronics,2026-01-21,5
"The price is reasonable and battery life is solid. Happy customer.",electronics,2026-01-22,4
"Battery dies within hours. Total waste of money.",electronics,2026-01-23,1
"Decent battery but the customer support experience was terrible.",electronics,2026-01-24,2
"Great product! Battery lasts all day and the price is fair.",electronics,2026-01-25,4
"Yeah right, the 'all day battery' lasted me until lunch. Great job.",electronics,2026-01-26,1
"Exceptional battery life. Charges fast and lasts forever.",electronics,2026-01-27,5
"Support team was patient and very knowledgeable. Issue fixed!",electronics,2026-01-28,5
"The battery performance has degraded significantly after 2 months.",electronics,2026-01-29,2
"Perfect phone at a perfect price. Battery is phenomenal.",electronics,2026-01-30,5
"Customer support hung up on me. Absolutely unacceptable.",electronics,2026-01-31,1
"Battery is mediocre. Nothing special for this price range.",electronics,2026-02-01,3
"Incredible value. Battery outlasts every competitor I've tried.",electronics,2026-02-02,5
"The customer support chat is useless. Bots everywhere, no humans.",electronics,2026-02-03,1
"Battery life dropped after the latest update. Very frustrated.",electronics,2026-02-04,2
"Fast shipping and the battery life is exactly as advertised.",electronics,2026-02-05,4
"Support response time is atrocious. 5 days for a simple question.",electronics,2026-02-06,1
"The price-to-performance ratio is excellent. Highly recommend!",electronics,2026-02-07,5
"Battery swelling issue after 3 months. Dangerous product!",electronics,2026-02-08,1
"Customer support went above and beyond. Replacement sent immediately.",electronics,2026-02-09,5
"Good battery for everyday use. Nothing outstanding but reliable.",electronics,2026-02-10,3
"Terrible value for money. Competitors offer much better batteries.",electronics,2026-02-11,1
"The battery easily handles heavy gaming sessions. Impressed!",electronics,2026-02-12,5
"Oh sure, customer support 'cares' about customers. That's hilarious.",electronics,2026-02-13,1
"Solid battery, solid price. Would recommend to friends.",electronics,2026-02-14,4
"Battery randomly shuts down. Very unreliable.",electronics,2026-02-15,1
"Best customer support experience I've ever had. Quick and efficient.",electronics,2026-02-16,5
"Overheating issues affecting battery life. Not safe.",electronics,2026-02-17,1
"The battery lasts longer than advertised. Pleasantly surprised.",electronics,2026-02-18,5
"Price increased but quality decreased. Very disappointed.",electronics,2026-02-19,1
"Reliable battery and excellent build quality at a fair price.",electronics,2026-02-20,4
"Had to contact support 4 times before getting any resolution.",electronics,2026-02-21,1
"Battery performance in cold weather is surprisingly good.",electronics,2026-02-22,4
"Customer support is 'world class' -- if you enjoy being on hold for 2 hours",electronics,2026-02-23,1
"Great battery but wish the price was a bit lower.",electronics,2026-02-24,3
"Battery life has been consistently excellent over 6 months.",electronics,2026-02-25,5
"Support team blamed me for the defective product. Shameful.",electronics,2026-02-26,1
